country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,RPD,Rosporden,Rosporden,29,-23-----,RL,,4758N 00350W,,FRRPD
FR,ROZ,Rosselange,Rosselange,57,-----6--,RL,,4916N 00604E,,FRROZ
FR,ZHC,Rostrenen,Rostrenen,22,-----6--,RL,,4814N 00319W,,FRZHC
FR,RSQ,Rosult,Rosult,59,1-------,RL,,5027N 00322E,,FRRSQ
FR,R39,Rotalier,Rotalier,39,-----6--,RL,,4635N 00529E,,FRR39
FR,39R,Rothonay,Rothonay,39,--3-----,RL,,4631N 00532E,,FR39R
FR,RTS,Rots,Rots,14,--3-----,RL,,4912N 00029W,,FRRTS
FR,IOX,Rouairoux,Rouairoux,81,--3-----,RL,,4329N 00234E,,FRIOX
FR,ROU,Roubaix,Roubaix,59,12--5---,AF,,5041N 00311E,,FRROU
FR,RBI,Roubia,Roubia,11,-----6--,RL,,4315N 00248E,,FRRBI
FR,URO,Rouen,Rouen,76,1-34----,AF,,4927N 00106E,,FRURO
FR,RSV,Rouessé-Vassé,Rouesse-Vasse,72,--3-----,RL,,4810N 00012W,,FRRSV
FR,RUF,Rouffach,Rouffach,68,--3-----,RL,,4757N 00718E,,FRRUF
FR,RA2,Rouffiac-d'Aude,Rouffiac-d'Aude,11,-----6--,RL,,4307N 00218E,,FRRA2
FR,RFT,Rouffiac-Tolosan,Rouffiac-Tolosan,31,--3-----,RL,,4340N 00131E,,FRRFT
FR,RDS,Rouffignac-de-Sigoulès,Rouffignac-de-Sigoules,24,--3--6--,RL,,4447N 00027E,,FRRDS
FR,RG9,Rougegoutte,Rougegoutte,90,--3-----,RL,,4744N 00651E,,FRRG9
FR,RGT,Rougemont,Rougemont,25,--3-----,RL,,4728N 00621E,,FRRGT
FR,RUG,Rougeries,Rougeries,2,--3-----,RL,,4948N 00348E,,FRRUG
FR,RO3,Rougiers,Rougiers,83,--3-----,RL,,4323N 00551E,,FRRO3
FR,RGC,Rougnac,Rougnac,16,--3-----,RL,,4532N 00021E,,FRRGC
FR,RHG,Rouhling,Rouhling,57,--3-----,RL,,4908N 00700E,,FRRHG
FR,RUI,Rouillac,Rouillac,16,--3-----,RL,,4547N 00004W,,FRRUI
FR,ROL,Rouillac,Rouillac,22,--3-----,RL,,4819N 00222W,,FRROL
FR,RYL,Rouilly-Saint-Loup,Rouilly-Saint-Loup,10,--3-----,RL,,4816N 00409E,,FRRYL
