country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CL,CLSBD,San Bernardo,San Bernardo,RM,-23-----,RN,,3336S 07043W,,
CL,CLSCR,San Carlos,San Carlos,BI,-23-----,RL,,3625S 07158W,,
CL,CLSCT,San Clemente,San Clemente,ML,--3-----,RN,,3533S 07129W,,
CL,CLSES,San Esteban,San Esteban,VS,--3-----,RN,,3248S 07035W,,
CL,CLSFN,San Fabián,San Fabian,BI,--3-----,RN,,3633S 07133W,,
CL,CLSFP,San Felipe,San Felipe,VS,--3-----,RL,,3245S 07043W,,
CL,CLSFD,San Fernando,San Fernando,LI,-23-----,RN,,3435S 07058W,,
CL,CLMOS,San Francisco de Mostazal,San Francisco de Mostazal,LI,-23-----,RN,,3359S 07043W,,
CL,CLSGR,San Gregorio,San Gregorio,MA,--3-----,RL,,5234S 07004W,,
CL,CLSIN,San Ignacio,San Ignacio,BI,--3-----,RN,,3648S 07202W,,
CL,CLSJV,San Javier,San Javier,ML,--3-----,RN,,3536S 07145W,,
CL,CLSJQ,San Joaquín,San Joaquin,RM,--3-----,RN,,3330S 07037W,,
CL,CLSJM,San José de Maipo,San Jose de Maipo,RM,--3-----,RN,,3338S 07022W,,
CL,CLSJC,San Juan de la Costa,San Juan de la Costa,LL,--3-----,RN,,4031S 07324W,,
CL,CLSMG,San Miguel,San Miguel,RM,--3-----,RN,,3330S 07040W,,
CL,CLSNI,San Nicolás,San Nicolas,BI,--3-----,RN,,3630S 07213W,,
CL,CLSPB,San Pablo,San Pablo,LL,--3-----,RN,,4024S 07301W,,
CL,CLSPE,San Pedro,San Pedro,RM,--3-----,RN,,3354S 07128W,,
CL,CLSPA,San Pedro de Atacama,San Pedro de Atacama,AN,--3-----,RN,,2255S 06813W,,
CL,CLSPP,San Pedro de la Paz,San Pedro de la Paz,BI,--3-----,RN,,3650S 07306W,,
CL,CLSRA,San Rafael,San Rafael,ML,--3-----,RN,,3519S 07132W,,
CL,CLSRM,San Ramón,San Ramon,RM,--3-----,RN,,3327S 07030W,,
CL,CLSRO,San Rosendo,San Rosendo,BI,--3-----,RN,,3716S 07243W,,
CL,CLSVE,San Vicente,San Vicente,BI,1-3-----,AI,,3642S 07308W,,
CL,CLSVT,San Vicente,San Vicente,LI,-23-----,RN,,3426S 07105W,,
CL,CLSTT,San Vicente de Tagua Tagua,San Vicente de Tagua Tagua,LI,--3-----,RL,,3430S 07108W,,
CL,CLSBA,Santa Bárbara,Santa Barbara,BI,--3-----,RN,,3740S 07201W,,
CL,CLSCZ,Santa Cruz,Santa Cruz,LI,-23-----,RN,,3438S 07122W,,
CL,CLSJU,Santa Juana,Santa Juana,BI,--3-----,RN,,3710S 07256W,,
CL,CLSMA,Santa María,Santa Maria,VS,--3-----,RN,,3245S 07040W,,
CL,CLSCL,Santiago,Santiago,RM,-2345---,AI,,3327S 07038W,,
CL,CLSDO,Santo Domingo,Santo Domingo,VS,--3-----,RL,,3338S 07139W,,
CL,CLSIG,Sierra Gorda,Sierra Gorda,AN,-23-----,RN,,2254S 06919W,,
CL,CLTLG,Talagante,Talagante,RM,--3-----,RL,,3340S 07056W,,
CL,CLTLX,Talca,Talca,ML,1234----,AI,,3525S 07139W,,
CL,CLTAL,Talcahuano,Talcahuano,BI,123-----,AI,,3644S 07307W,,
CL,CLTTC,Taltal,Taltal,AN,1--4----,AI,,2524S 07028W,,
